Domain	GOA file	TaxID	Proteome file	Scientific Name
Archaea	1.A_pernix.goa	272557	UP000002518_272557.fasta	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)
Bacteria	10.C_jejuni_O-2.goa	192222	UP000000799_192222.fasta	Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)
Eukaryota	1000071.M_pachydermatis.goa	77020	UP000037751_77020.fasta	Malassezia pachydermatis
Bacteria	1000905.F_akiainvivens.goa	1202724	UP000037755_1202724.fasta	Flavobacterium akiainvivens
Bacteria	1001527.S_sp_AS58.goa	1519489	UP000037758_1519489.fasta	Streptomyces sp. AS58
Bacteria	1005021.S_caelestis.goa	36816	UP000037773_36816.fasta	Streptomyces caelestis
Bacteria	1006179.L_kunkeei_LAko.goa	148814	UP000037778_148814.fasta	Apilactobacillus kunkeei
Bacteria	101.W_glossinidia.goa	36870	UP000000562_36870.fasta	Wigglesworthia glossinidia brevipalpis
Bacteria	102.S_mutans_ATCC_700610.goa	210007	UP000002512_210007.fasta	Streptococcus mutans serotype c (strain ATCC 700610 / UA159)
Bacteria	103.S_flexneri_301.goa	623	UP000001006_623.fasta	Shigella flexneri
Bacteria	104.L_interrogans.goa	189518	UP000001408_189518.fasta	Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601)
Bacteria	106.S_oneidensis.goa	211586	UP000008186_211586.fasta	Shewanella oneidensis (strain MR-1)
Bacteria	107.C_efficiens.goa	196164	UP000001409_196164.fasta	Corynebacterium efficiens (strain DSM 44549 / YS-314 / AJ 12310 / JCM 11189 / NBRC 100395)
Bacteria	1071133.A_maritima.goa	872965	UP000037784_872965.fasta	Ardenticatena maritima
Bacteria	108.M_penetrans.goa	272633	UP000002522_272633.fasta	Malacoplasma penetrans (strain HF-2)
Bacteria	109.P_putida_KT2440.goa	160488	UP000000556_160488.fasta	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)
Bacteria	112.B_japonicum.goa	224911	UP000002526_224911.fasta	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)
Bacteria	116.B_aphidicola_Baizongia_pistaciae.goa	224915	UP000000601_224915.fasta	Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp)
Bacteria	117.L_plantarum_WCFS1.goa	220668	UP000000432_220668.fasta	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1)
Bacteria	119.C_tetani.goa	212717	UP000001412_212717.fasta	Clostridium tetani (strain Massachusetts / E88)
Bacteria	1207628.B_sp_AAP58.goa	1523422	UP000037838_1523422.fasta	Brevundimonas sp. AAP58
Bacteria	1208191.b_proteobacterium_AAP65.goa	1523424	UP000037849_1523424.fasta	beta proteobacterium AAP65
Bacteria	1209881.A_bacterium_OV320.goa	1592329	UP000037870_1592329.fasta	Actinobacteria bacterium OV320
Bacteria	121.T_whipplei_Twist.goa	203267	UP000002200_203267.fasta	Tropheryma whipplei (strain Twist)
Bacteria	1211065.N_sp_ST904.goa	1684385	UP000037878_1684385.fasta	Novosphingobium sp. ST904
Bacteria	1211347.N_sp_AAP1.goa	1523413	UP000037880_1523413.fasta	Novosphingobium sp. AAP1
Bacteria	1212613.B_sp_AAP35.goa	1523417	UP000037890_1523417.fasta	Bosea sp. AAP35
Eukaryota	1216223.L_pyrrhocoris.goa	157538	UP000037923_157538.fasta	Leptomonas pyrrhocoris
Bacteria	1217156.B_sp_AAP25.goa	1523416	UP000037930_1523416.fasta	Blastomonas sp. AAP25
Bacteria	1217181.P_fuscovaginae_IRRI_6609.goa	50340	UP000037931_50340.fasta	Pseudomonas fuscovaginae
Bacteria	1217794.F_sp_RIT-PI-h.goa	1690245	UP000037934_1690245.fasta	Frigoribacterium sp. RIT-PI-h
Bacteria	1218355.A_ursilacus.goa	857265	UP000037939_857265.fasta	Amantichitinum ursilacus
Bacteria	1219547.b_336-3.goa	1664068	UP000037950_1664068.fasta	bacterium 336/3
Bacteria	1219672.S_sp_SK013.goa	1389006	UP000037951_1389006.fasta	Shimia sp. SK013
Eukaryota	122.R_norvegicus.goa	10116	UP000002494_10116.fasta	Rattus norvegicus
Bacteria	1220622.b_proteobacterium_AAP99.goa	1523428	UP000037960_1523428.fasta	beta proteobacterium AAP99
Bacteria	1221520.a_proteobacterium_AAP81b.goa	1523432	UP000037971_1523432.fasta	alpha proteobacterium AAP81b
Bacteria	1222812.S_chattanoogensis.goa	66876	UP000037982_66876.fasta	Streptomyces chattanoogensis
Bacteria	1223088.C_Magnetomorum_sp_HK-1.goa	1509431	UP000037988_1509431.fasta	Candidatus Magnetomorum sp. HK-1
Bacteria	1223438.A_bacterium_OK074.goa	1592327	UP000037991_1592327.fasta	Actinobacteria bacterium OK074
Bacteria	1224443.N_sp_AAP83.goa	1523425	UP000037998_1523425.fasta	Novosphingobium sp. AAP83
Eukaryota	1225887.P_attae.goa	1664694	UP000038010_1664694.fasta	Phialophora attinorum
Bacteria	1225937.A_sp_LZD062.goa	1514904	UP000038011_1514904.fasta	Ahrensia marina
Bacteria	124.V_parahaemolyticus.goa	223926	UP000002493_223926.fasta	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)
Bacteria	1242.P_amoebophila.goa	264201	UP000000529_264201.fasta	Protochlamydia amoebophila (strain UWE25)
Bacteria	126.P_syringae_tomato.goa	223283	UP000002515_223283.fasta	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)
Bacteria	127.B_thetaiotaomicron.goa	226186	UP000001414_226186.fasta	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)
Bacteria	128.E_faecalis_V583.goa	226185	UP000001415_226185.fasta	Enterococcus faecalis (strain ATCC 700802 / V583)
Bacteria	130.C_burnetii_Nine_Mile_phase_I.goa	227377	UP000002671_227377.fasta	Coxiella burnetii (strain RSA 493 / Nine Mile phase I)
Bacteria	131.S_avermitilis.goa	227882	UP000000428_227882.fasta	Streptomyces avermitilis (strain ATCC 31267 / DSM 46492 / JCM 5070 / NBRC 14893 / NCIMB 12804 / NRRL 8165 / MA-4680)
Bacteria	133.N_europaea.goa	228410	UP000001416_228410.fasta	Nitrosomonas europaea (strain ATCC 19718 / CIP 103999 / KCTC 2705 / NBRC 14298)
Bacteria	1336256.C_cynodegmi.goa	28189	UP000038055_28189.fasta	Capnocytophaga cynodegmi
Eukaryota	1338953.T_hemipterigena.goa	1531966	UP000039046_1531966.fasta	Torrubiella hemipterigena
Eukaryota	1339671.P_brassicae_Clubroot_disease.goa	37360	UP000039324_37360.fasta	Plasmodiophora brassicae
Bacteria	134.B_cereus_ATCC_14579.goa	226900	UP000001417_226900.fasta	Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711)
Eukaryota	1341080.S_lemnae.goa	5949	UP000039865_5949.fasta	Stylonychia lemnae
Bacteria	1342664.O_oncorhynchi.goa	545501	UP000040453_545501.fasta	Oceanobacillus oncorhynchi
Bacteria	1342989.B_thermoamylovorans_1_2_3_4.goa	35841	UP000040576_35841.fasta	Caldibacillus thermoamylovorans
Eukaryota	1344843.V_brassicaformis_CCMP3155.goa	1169540	UP000041254_1169540.fasta	Vitrella brassicaformis (strain CCMP3155)
Bacteria	1345208.u_bacterium_1.goa	77133	UP000041370_77133.fasta	uncultured bacterium
Bacteria	1345862.P_sp_Iso2-2.goa	1677858	UP000041641_1677858.fasta	Propionispora sp. 2/2-37
Bacteria	1347721.B_sp_B-jedd.goa	1476857	UP000042335_1476857.fasta	Bacillus sp. B-jedd
Eukaryota	1349371.P_brasilianum.goa	104259	UP000042958_104259.fasta	Penicillium brasilianum
Bacteria	1350517.P_sp_CG9_12.goa	1504672	UP000043372_1504672.fasta	Polaromonas sp. CG9_12
Bacteria	1351412.P_sp_ES2.goa	1499687	UP000043699_1499687.fasta	Planococcus massiliensis
Bacteria	1352394.L_massiliensis_1.goa	1034943	UP000044071_1034943.fasta	Legionella massiliensis
Bacteria	1352581.J_sp_13MG44_air.goa	1461582	UP000044136_1461582.fasta	Jeotgalicoccus saudimassiliensis
Bacteria	1353192.B_goodwinii.goa	1109412	UP000044377_1109412.fasta	Brenneria goodwinii
Eukaryota	1353788.V_longisporum.goa	100787	UP000044602_100787.fasta	Verticillium longisporum
Eukaryota	1354437.R_solani.goa	456999	UP000044841_456999.fasta	Rhizoctonia solani
Bacteria	1354545.R_sp_RD62.goa	260936	UP000044872_260936.fasta	Rhodococcus sp. RD6.2
Bacteria	1354999.C_canimorsus_CcD38.goa	1848903	UP000045051_1848903.fasta	Capnocytophaga canis
Bacteria	1356319.S_zehnderi_OL-4.goa	690567	UP000045545_690567.fasta	Syntrophomonas zehnderi OL-4
Bacteria	1357890.S_schinkii.goa	499207	UP000046155_499207.fasta	Syntrophaceticus schinkii
Bacteria	137.M_gallisepticum_Rlow.goa	710127	UP000001418_710127.fasta	Mycoplasma gallisepticum (strain R(low / passage 15 / clone 2))
Bacteria	139.H_hepaticus.goa	235279	UP000002495_235279.fasta	Helicobacter hepaticus (strain ATCC 51449 / 3B1)
Bacteria	140.P_marinus_SS120.goa	167539	UP000001420_167539.fasta	Prochlorococcus marinus (strain SARG / CCMP1375 / SS120)
Bacteria	1403246.J_rubra.goa	282197	UP000048908_282197.fasta	Jannaschia rubra
Bacteria	1403652.N_ignava.goa	282199	UP000048949_282199.fasta	Nereida ignava
Bacteria	1403854.S_sp_NBRC_110027.goa	1546107	UP000048965_1546107.fasta	Streptomyces lydicamycinicus
Bacteria	1404104.P_hirschii.goa	665126	UP000048984_665126.fasta	Prosthecomicrobium hirschii
Bacteria	1406805.J_donghaensis.goa	420998	UP000049222_420998.fasta	Jannaschia donghaensis
Bacteria	1410051.J_seosinensis.goa	313367	UP000049455_313367.fasta	Jannaschia seosinensis
Bacteria	1414965.S_sp_An4.goa	2378	UP000049855_2378.fasta	Sporomusa ovata
Bacteria	1416747.E_sp_SG61-1L.goa	1603897	UP000049978_1603897.fasta	Erythrobacter sp. SG61-1L
Bacteria	1416799.L_alba_CECT_5096.goa	311410	UP000049983_311410.fasta	Roseibium album
Bacteria	1444.D_vulgaris_Hildenborough.goa	882	UP000002194_882.fasta	Desulfovibrio vulgaris (strain ATCC 29579 / DSM 644 / NCIMB 8303 / VKM B-1760 / Hildenborough)
Bacteria	145.B_pertussis_ATCC_BAA-589.goa	257313	UP000002676_257313.fasta	Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251)
Bacteria	1462.P_profundum.goa	298386	UP000000593_298386.fasta	Photobacterium profundum (strain SS9)
Bacteria	148.P_marinus_MIT_9313.goa	74547	UP000001423_74547.fasta	Prochlorococcus marinus (strain MIT 9313)
Bacteria	149.R_baltica.goa	243090	UP000001025_243090.fasta	Rhodopirellula baltica (strain DSM 10527 / NCIMB 13988 / SH1)
Bacteria	15.C_trachomatis_D-UW-3-Cx.goa	272561	UP000000431_272561.fasta	Chlamydia trachomatis (strain D/UW-3/Cx)
Bacteria	150.H_ducreyi.goa	233412	UP000001022_233412.fasta	Haemophilus ducreyi (strain 35000HP / ATCC 700724)
Bacteria	151.W_succinogenes.goa	273121	UP000000422_273121.fasta	Wolinella succinogenes (strain ATCC 29543 / DSM 1740 / LMG 7466 / NCTC 11488 / FDC 602W)
Bacteria	152.P_gingivalis_ATCC_BAA-308.goa	242619	UP000000588_242619.fasta	Porphyromonas gingivalis (strain ATCC BAA-308 / W83)
Bacteria	153.C_violaceum.goa	243365	UP000001424_243365.fasta	Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / NBRC 12614 / NCIMB 9131 / NCTC 9757)
Bacteria	154.G_violaceus.goa	251221	UP000000557_251221.fasta	Gloeobacter violaceus (strain ATCC 29082 / PCC 7421)
Bacteria	1542028.C_sp_UCD-24C.goa	1716176	UP000050261_1716176.fasta	Cobetia sp. UCD-24C
Bacteria	1543198.C_dokdonensis_DOKDO_023.goa	1300341	UP000050280_1300341.fasta	Croceitalea dokdonensis DOKDO 023
Archaea	1544465.A_cupricumulans.goa	312540	UP000050301_312540.fasta	Acidiplasma cupricumulans
Bacteria	1545926.O_pfennigii.goa	36849	UP000050326_36849.fasta	Oxobacter pfennigii
Bacteria	1548974.B_vietnamensis.goa	218284	UP000050398_218284.fasta	Rossellomorea vietnamensis
Bacteria	1549890.S_sp_P1-14-1.goa	1723761	UP000050414_1723761.fasta	Shewanella sp. P1-14-1
Bacteria	155.P_luminescens.goa	243265	UP000002514_243265.fasta	Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01)
Bacteria	1550132.O_apprima.goa	1134406	UP000050417_1134406.fasta	Ornatilinea apprima
Eukaryota	1550587.N_ditissima.goa	78410	UP000050424_78410.fasta	Neonectria ditissima
Bacteria	1550702.L_tardivitalis.goa	229920	UP000050430_229920.fasta	Leptolinea tardivitalis
Bacteria	1551941.L_sp_JN14-9.goa	1605367	UP000050454_1605367.fasta	Jiulongibacter sediminis
Bacteria	1552995.A_crassostreae.goa	154981	UP000050471_154981.fasta	Aliiroseovarius crassostreae
Bacteria	1553591.A_ferrooxydans.goa	471514	UP000050482_471514.fasta	Alicyclobacillus ferrooxydans
Bacteria	1553769.C_sp_NML_130206.goa	1544413	UP000050488_1544413.fasta	Corynebacterium lowii
Bacteria	1554187.L_saccharolytica.goa	229921	UP000050501_229921.fasta	Levilinea saccharolytica
Bacteria	1554791.K_aurantiaca.goa	186479	UP000050509_186479.fasta	Kouleothrix aurantiaca
Bacteria	1554967.B_caldifistulae.goa	360411	UP000050514_360411.fasta	Bellilinea caldifistulae
Eukaryota	1555516.A_mississippiensis_American_alligator.goa	8496	UP000050525_8496.fasta	Alligator mississippiensis
Archaea	1555803.H_pelagica.goa	699431	UP000050535_699431.fasta	Halolamina pelagica
Bacteria	1556226.P_sp_Hv1.goa	1740090	UP000050543_1740090.fasta	Pedobacter sp. Hv1
