UniProt File Name	Taxon ID	Domain	Scientific Name	Common Name (when available)	Synonym (when available)	Organism Code
UP000000242_399549	399549	Archaea	Metallosphaera sedula (strain ATCC 51363 / DSM 5348 / JCM 9185 / NBRC 15509 / TH2)	N/A	N/A	METS5
UP000000254_399550	399550	Archaea	Staphylothermus marinus (strain ATCC 43588 / DSM 3639 / JCM 9404 / F1)	N/A	N/A	STAMF
UP000000262_453591	453591	Archaea	Ignicoccus hospitalis (strain KIN4/I / DSM 18386 / JCM 14125)	N/A	N/A	IGNH4
UP000000346_666510	666510	Archaea	Acidilobus saccharovorans (strain DSM 16705 / JCM 18335 / VKM B-2471 / 345-15)	N/A	N/A	ACIS3
UP000000365_410358	410358	Archaea	Methanocorpusculum labreanum (strain ATCC 43576 / DSM 4855 / Z)	N/A	N/A	METLZ
UP000000390_795797	795797	Archaea	Halalkalicoccus jeotgali (strain DSM 18796 / CECT 7217 / JCM 14584 / KCTC 4019 / B3)	N/A	N/A	HALJB
UP000000391_644295	644295	Archaea	Methanohalobium evestigatum (strain ATCC BAA-1072 / DSM 3721 / NBRC 107634 / OCM 161 / Z-7303)	N/A	N/A	METEZ
UP000000438_263820	263820	Archaea	Picrophilus torridus (strain ATCC 700027 / DSM 9790 / JCM 10055 / NBRC 100828)	N/A	N/A	PICTO
UP000000536_69014	69014	Archaea	Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1)	Pyrococcus kodakaraensis (strain KOD1)	N/A	THEKO
UP000000554_64091	64091	Archaea	Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1)	Halobacterium halobium	N/A	HALSA
UP000000554_64091_additional	64091	Archaea	Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1)	Halobacterium halobium	N/A	HALSA
UP000000578_228908	228908	Archaea	Nanoarchaeum equitans (strain Kin4-M)	N/A	N/A	NANEQ
UP000000590_267377	267377	Archaea	Methanococcus maripaludis (strain S2 / LL)	N/A	N/A	METMP
UP000000595_192952	192952	Archaea	Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88)	Methanosarcina frisia	N/A	METMA
UP000000641_368408	368408	Archaea	Thermofilum pendens (strain DSM 2475 / Hrk 5)	N/A	N/A	THEPD
UP000000663_351160	351160	Archaea	Methanocella arvoryzae (strain DSM 22066 / NBRC 105507 / MRE50)	N/A	N/A	METAR
UP000000674_349307	349307	Archaea	Methanothrix thermoacetophila (strain DSM 6194 / JCM 14653 / NBRC 101360 / PT)	Methanosaeta thermophila	N/A	METTP
UP000000758_414004	414004	Archaea	Cenarchaeum symbiosum (strain A)	N/A	N/A	CENSY
UP000000792_436308	436308	Archaea	Nitrosopumilus maritimus (strain SCM1)	N/A	N/A	NITMS
UP000000805_243232	243232	Archaea	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440)	Methanococcus jannaschii	N/A	METJA
UP000001013_186497	186497	Archaea	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	N/A	N/A	PYRFU
UP000001015_273063	273063	Archaea	Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7)	Sulfolobus tokodaii	N/A	SULTO
UP000001018_330779	330779	Archaea	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	N/A	N/A	SULAC
UP000001024_273075	273075	Archaea	Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165)	N/A	N/A	THEAC
UP000001037_694429	694429	Archaea	Pyrolobus fumarii (strain DSM 11204 / 1A)	N/A	N/A	PYRF1
UP000001059_547558	547558	Archaea	Methanohalophilus mahii (strain ATCC 35705 / DSM 5219 / SLP)	N/A	N/A	METMS
UP000001106_419665	419665	Archaea	Methanococcus aeolicus (strain ATCC BAA-1280 / DSM 17508 / OCM 812 / Nankai-3)	N/A	N/A	META3
UP000001137_397948	397948	Archaea	Caldivirga maquilingensis (strain ATCC 700844 / DSM 13496 / JCM 10307 / IC-167)	N/A	N/A	CALMQ
UP000001169_272569	272569	Archaea	Haloarcula marismortui (strain ATCC 43049 / DSM 3752 / JCM 8966 / VKM B-1809)	Halobacterium marismortui	N/A	HALMA
UP000001304_583356	583356	Archaea	Ignisphaera aggregans (strain DSM 17230 / JCM 13409 / AQ1.S1)	N/A	N/A	IGNAA
UP000001400_439481	439481	Archaea	Aciduliprofundum boonei (strain DSM 19572 / T469)	N/A	N/A	ACIB4
UP000001686_374847	374847	Archaea	Korarchaeum cryptofilum (strain OPF8)	N/A	N/A	KORCO
UP000001746_485914	485914	Archaea	Halomicrobium mukohataei (strain ATCC 700874 / DSM 12286 / JCM 9738 / NCIMB 13541)	Haloarcula mukohataei	N/A	HALMD
UP000001826_190192	190192	Archaea	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	N/A	N/A	METKA
UP000001879_547559	547559	Archaea	Natrialba magadii (strain ATCC 43099 / DSM 3394 / CCM 3739 / CIP 104546 / IAM 13178 / JCM 8861 / NBRC 102185 / NCIMB 2190 / MS3)	Natronobacterium magadii	N/A	NATMM
UP000001882_304371	304371	Archaea	Methanocella paludicola (strain DSM 17711 / JCM 13418 / NBRC 101707 / SANAE)	N/A	N/A	METPS
